,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10,Total
Rf4092+WIV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0,0.0,849.0
n35+n5,0.0,0.0,0.0,0.0,549.0,300.0,0.0,0.0,0.0,0.0,0.0,849.0
Rs9401+n16,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,810.0,0.0,842.0
C020+Rp3,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0
Rs4255+YN2018C,0.0,0.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.0
LYRa11+n46,0.0,0.0,0.0,70.0,470.0,0.0,72.0,100.0,118.0,0.0,0.0,830.0
C010+SARS-CoV,0.0,0.0,0.0,0.0,0.0,100.0,600.0,0.0,0.0,0.0,100.0,800.0
BM48-31+n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0
Rs4231+n29,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0
n38+n6,0.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0
WIV1+YN2018B,0.0,0.0,0.0,0.0,0.0,0.0,679.0,100.0,0.0,0.0,0.0,779.0
n35+n46,0.0,0.0,0.0,236.0,116.0,100.0,0.0,41.0,217.0,0.0,68.0,778.0
n40+n47,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,715.0,0.0,766.0
Rs4084+Rs4231,0.0,0.0,0.0,0.0,0.0,100.0,654.0,0.0,0.0,0.0,0.0,754.0
n47+n51,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,754.0
n46+n5,0.0,0.0,0.0,0.0,200.0,68.0,0.0,286.0,0.0,0.0,193.0,747.0
Rs4084+Rs9401,0.0,229.0,0.0,0.0,43.0,63.0,405.0,0.0,0.0,0.0,0.0,740.0
Rs4231+YN2018C,0.0,0.0,0.0,0.0,661.0,0.0,73.0,0.0,0.0,0.0,0.0,734.0
LYRa11+n19,0.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0
F46+Rs4255,0.0,0.0,23.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0
n2+n50,0.0,0.0,0.0,76.0,0.0,0.0,600.0,46.0,0.0,0.0,0.0,722.0
SC2018+n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,700.0,0.0,721.0
Rs4084+YN2018C,0.0,0.0,0.0,0.0,0.0,24.0,379.0,0.0,0.0,300.0,0.0,703.0
YN2018B+YN2018D,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
P5E+P5L,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,200.0,0.0,700.0
Rf4092+n10,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0
Rs4255+Rs672,0.0,155.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,661.0
Rf4092+Rs4084,0.0,0.0,0.0,0.0,0.0,13.0,647.0,0.0,0.0,0.0,0.0,660.0
HuB2013+n39,0.0,372.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,88.0,0.0,648.0
HuB2013+RpS11,0.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,639.0
